chainage (m),Q (m3/s),flood levels (masl)
16998.185725364194,6015.692483707557,117.50900002282529
27737.88077827344,5202.3653853800515,115.57970050533781
21244.914635330446,9422.209054469326,119.40972966428421
17690.719746262163,8855.664536128412,118.63543785314151
31492.201544743493,10749.829996615521,120.84844257975772
25525.298478038727,9136.810692529703,118.00290778483604
17450.62694866156,8388.431392243321,119.91582882234879
33802.90850069276,9420.359283629245,117.90243484357096
2530.5670711875746,12980.29003077597,125.20949984786498
19324.272192080054,7330.550599345026,115.7158306500564
2191.1697527506694,7503.550736258433,120.9910568563001
2456.583952938417,6571.44780231233,119.77189490213473
28630.759318214394,6384.9162359671645,117.4186779513185
824.0864364852841,8929.06117364114,120.13479030784333
31690.33623672453,8950.084196260124,118.66876042689196
6992.593029213148,3994.5942840732396,114.6647959132339
33576.147047773826,9407.161228437508,116.5469122024245
23079.507608007574,10852.34571848403,118.47907993525601
29371.739303995717,8686.556318222978,118.65720874121659
32698.380279128058,9434.453841009314,117.29507114583434
2948.192434593315,11092.55145115446,124.47414415933119
3052.6136556965607,12104.979603869146,124.52127610361592
11903.673524290192,14642.574636279911,126.47738286875077
18133.708908348515,8817.976345262401,117.85276542303933
3059.832416337974,15437.075845875916,127.26354049690305
4039.8084117845265,6555.162270260178,118.71966715104055
22043.988008523324,10532.661810476242,119.34468863233357
165.28863124290186,7285.320625643008,117.66450477928959
11153.685300619247,7819.294597505886,119.43886074405965
15032.370072020325,14063.900957751695,122.68336227564373
3533.000092816618,14852.583429202494,126.29994036401422
14016.509088267368,9949.206009023615,121.49464845732284
33272.17583041605,9235.532331321727,117.14818749415544
6813.060039702563,7782.917830935798,118.30090618324881
13699.646333588886,7297.5913967137985,119.15726146743496
24101.953281191945,9031.686473643429,116.27751521511559
34028.98483159995,19296.41589975865,125.02884453278133
21034.054713135432,12791.203724815252,122.61736439798463
6686.423980425587,8305.236085913852,118.85388179980674
21218.64764245453,18204.940331506066,124.94087550422893
25903.84317061215,14272.426665692772,123.31232023096989
25768.378147086056,13581.840581838289,122.48837174951595
9474.511276494033,9437.525847271421,119.21358414068675
22031.84404850067,8774.89888456949,118.03092904359765
33338.64796979586,9712.679433092875,117.13819385823214
22963.473740724527,10648.252383569348,118.87608468924249
26640.64544119736,9451.663122815735,118.21941931376276
14911.768510215503,6527.557663072188,116.84118204599483
31994.841903442742,8149.067591970555,118.20127851370893
17593.14251620778,9336.423899031817,119.92036871812157
29121.039183581077,8146.958341006993,118.82994537823245
5367.5966653712085,14760.434157644608,122.67172968544361
26744.834673745067,7189.465522249263,116.65877557022021
29428.68614033974,14940.646389146374,123.63631829516376
13396.442285338879,12327.693110967783,124.22946608384542
17130.332699441507,11208.945759653809,122.26792939112019
27024.407399557767,11718.586007096403,119.69368307980666
7429.76395876636,16186.518751489173,123.36053497089964
18374.28451439593,6308.956509505262,115.66734440432151
25702.03795788394,13359.716607570565,121.97354159558456
21114.414275030562,5020.361689520961,115.79335594082292
2673.0598672129495,10059.91148364039,123.12188366481983
32944.27348671528,3943.576099771606,111.79704708714893
1679.7982453359216,15292.915550974798,127.47591273238599
447.66392425665515,9511.310037606945,119.94851317503012
4430.023464008685,10617.518302101573,120.88964302673631
9515.87125552723,13965.639114492316,122.6537434689256
13620.473278787373,5545.43125807389,117.81130032356037
12408.39638112475,5501.768755969273,119.03218040430815
26398.912966331514,7286.277773392185,117.36171350982836
29855.93363497088,16051.788011406903,124.71016872750317
3252.881607782206,8802.253633207756,121.64487138653716
21130.742257710754,14397.384855192,123.07994480689865
4959.463356118024,12666.215248498871,122.1667536254799
34089.95300345057,8577.474971345766,117.9088839757008
11655.837093085174,13831.119513958212,123.88773603428652
31693.040449636723,15054.972033052882,125.43805701907685
16134.46325877435,11989.560678260419,121.63828779606327
14540.77859720107,7951.141222709944,118.82990748712625
23160.945743321565,7658.975587960699,115.45284531756548
21556.05498175313,8813.587271375367,118.33498138223148
18970.157503576294,9764.289020833412,118.12379515785477
14088.526471396272,12466.644981588368,123.66813558277516
127.19707579618841,10594.04001468263,119.67718841160713
15053.273688750442,9335.761005502622,118.70577105853363
30135.544025875286,11193.392981087054,121.3217175208944
31501.895722981342,5054.922886227875,114.85304438131224
9394.919425226231,17111.17098897774,123.70290844267055
21353.73975557309,12381.330333573964,121.93648297809271
284.87879738424976,9573.54485547397,120.45106587916787
20255.626431283123,13188.963631178813,122.41480805315535
2641.2627063251402,8517.722626840334,121.36580935969825
8745.568995546988,7075.357316156239,116.16496651836283
4968.899430034714,6678.039976165603,117.51498038314857
28111.238198785,7253.081142827866,118.04504108717137
33639.738209367155,13492.723456142261,120.61823733780585
32374.87212199486,12307.172204147055,122.2239788291521
23479.43949929135,5646.48633647295,112.85276413587613
34182.2084195691,9271.763730094524,118.02150670449655
19162.65693561695,7001.310040189462,115.3002659156639
30282.55262889983,10815.679948139275,119.71325351793766
23139.41695348303,4931.217679335234,112.76880338309273
9473.038559293254,8019.051244757874,118.54821125193052
3785.690745293436,10388.94871323376,122.0946949263879
6198.2946213316145,7806.827179383473,119.0974312883451
3209.2301487019763,9524.785337576257,122.24086779747672
3086.35756387583,10025.77025217477,122.62785487220938
5003.672809129656,6683.544077073836,117.89351314130506
10872.311780132195,8661.711828530608,120.62250724989367
11152.014514797718,7516.199417978169,119.39496683657042
7578.8044672242895,11917.768085336262,120.75648357970165
8421.48926878387,9202.661543294396,118.10790533254195
3541.681592223749,9706.064032641085,122.93794945920457
28081.44074604215,15420.22971196537,124.75387744023682
7605.262994330811,14185.240239284949,122.08722546962686
27416.130331709057,5154.026176376332,115.90564086822255
1400.6415773330302,4386.701950895345,117.11371404634126
9173.162122470141,11998.345595848987,121.58823829972347
17374.54841344957,4458.686903212752,115.75461772774365
18577.320356475917,7972.318424186325,116.83095288156079
34282.04272588182,11190.666124442027,119.66408350161414
12543.741019659921,10092.13359992591,123.15406851952422
33269.5932887328,9104.896496475978,116.09910919739701
10640.604310078252,9015.722750172934,120.9960497225929
