chainage (m),width (m),thalweg
11060,1686.8,106.914
11070,1686.3,106.898
11080,1685.7,106.883
11090,1684.9,106.867
11100,1684.1,106.851
11110,1683,106.835
11120,1681.9,106.82
11130,1680.6,106.804
11140,1679.3,106.788
11150,1677.7,106.772
11160,1676.1,106.756
11170,1673.8,106.741
11180,1669.7,106.725
11190,1665.3,106.709
11200,1660.7,106.693
11210,1655.9,106.678
11220,1650.9,106.662
11230,1645.7,106.646
11240,1640.3,106.63
11250,1634.6,106.615
11260,1629,106.599
11270,1623,106.584
11280,1617.2,106.567
11290,1611.1,106.552
11300,1604.8,106.536
11310,1598.7,106.521
11320,1592.4,106.505
11330,1586.1,106.489
11340,1579.6,106.473
11350,1572.9,106.457
11360,1566,106.442
11370,1558.9,106.426
11380,1552,106.411
11390,1544.9,106.394
11400,1537.9,106.379
11410,1530.7,106.363
11420,1523.4,106.347
11430,1516.2,106.332
11440,1507.1,106.316
11450,1504.2,106.334
11460,1501.3,106.351
11470,1498.4,106.368
11480,1495.6,106.386
11490,1492.7,106.404
11500,1489.9,106.421
11510,1487,106.439
11520,1484.2,106.457
11530,1481.4,106.474
11540,1479.1,106.492
11550,1477,106.509
11560,1474.6,106.527
11570,1472.3,106.545
11580,1469.8,106.562
11590,1467.5,106.58
11600,1465.1,106.597
11610,1462.5,106.615
11620,1460.1,106.632
11630,1457.4,106.65
11640,1454.9,106.667
11650,1452.5,106.685
11660,1449.8,106.702
11670,1447.2,106.72
11680,1444.4,106.737
11690,1441.8,106.755
11700,1439,106.772
11710,1436.4,106.79
11720,1433.7,106.808
11730,1430.8,106.825
11740,1428,106.843
11750,1425.2,106.86
11760,1422.4,106.878
11770,1419.5,106.895
11780,1416.6,106.912
11790,1413.8,106.931
11800,1410.8,106.948
11810,1408,106.966
11820,1405,106.983
11830,1402.1,107
11840,1399.1,107.019
11850,1396.1,107.036
11860,1393.2,107.053
11870,1390.1,107.071
11880,1387.2,107.088
